epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.4857225716114044,1.0598679780960083,0.1712414175271988,1.936829924583435
1,0.49265342950820923,1.0508975982666016,0.2075151801109314,1.7523736953735352
2,0.49682676792144775,1.0242760181427002,0.25802522897720337,1.579857587814331
3,0.521765947341919,0.9574486613273621,0.2740935981273651,1.652753472328186
4,0.5510907173156738,0.8817244172096252,0.34176549315452576,1.3767625093460083
5,0.5615049600601196,0.8547956347465515,0.33881068229675293,1.4797765016555786
6,0.5655373334884644,0.8621805310249329,0.4539102017879486,1.0716296434402466
7,0.5752860307693481,0.8288268446922302,0.42463335394859314,1.1680837869644165
8,0.5915355682373047,0.7900159955024719,0.4703139066696167,1.010369896888733
9,0.5979235768318176,0.7788749933242798,0.5204312205314636,0.9367443919181824
10,0.6145061254501343,0.734229326248169,0.5081091523170471,0.9589394927024841
11,0.6105566620826721,0.7445406913757324,0.5420422554016113,0.8770325183868408
12,0.6143122911453247,0.7445562481880188,0.5570793151855469,0.8420853614807129
13,0.6376054286956787,0.6779744029045105,0.5761721730232239,0.815053403377533
14,0.6260616183280945,0.7127162218093872,0.545362651348114,0.8761947751045227
15,0.6340816617012024,0.6996696591377258,0.555860161781311,0.8767920136451721
16,0.6496559381484985,0.6553091406822205,0.556593120098114,0.8238387703895569
